ID,title,key_words
24020057,00_Personal narratives build trust across ideological divides,"narratives, sensitive self-disclosure, trust, collaboration"
24020058,00_Disentangling the relational approach to organizational justice: Meta-analytic and field tests of distinct roles of social exchange and social identity,"organizational justice, social exchange, social identity, relative mediating power"
24020059,"00_Coping with work–nonwork stressors over time: A person-centered, multistudy integration of coping breadth and depth","coping, work–nonwork interface, latent profile analysis, latent transition analysis, social support"
24020060,00_How perceived lack of benevolence harms trust of artificial intelligence management,"trust, benevolence, emotions, artificial intelligence management"
24020061,00_Rumor has it: CEO gender and response to organizational denials,"female CEOs, crisis response, crisis communication, denial, agency"
24020062,"00_Work–family conflict and strain: Revisiting theory, direction of causality, and longitudinal dynamism","work–family conflict, strain, cross-lagged panel model, random-intercept cross-lagged panel model"
24020063,00_Rudeness and team performance: Adverse effects via member social value orientation and coordinative team processes,"incivility, rudeness, team performance, information and workload sharing, social value orientation"
24030001,00_The Impact of Linguistic Prediction Violations on Downstream Recognition Memory and Sentence Recall,"Linguistic Prediction Violation, Downstream impact, Recognition Memory, Sentence Recall, EEG"
24030002,00_Tomatoes Are Red: The Perception of Achromatic Objects Elicits Retrieval of Associated Color Knowledge,"Color knowledge,  Achromatic Objects, fMRI, Representational similarity analysis, Semantic attribute activation"
24030003,00_A Case Study of the Validity of Web-based Visuomotor Rotation Experiments,"Visuomotor Rotation, online experimental platform, Sensory Uncertainty, Relevance Estimation Hypothesis, data quality"
24030004,00_Turning the Light Switch on Binding: Prefrontal Activity for Binding and Retrieval in Action Control,"action control theory, Stimulus-Response Binding, the dorsolateral prefrontal cortex, Executive control, translated localization "
24030005,00_Rhythmically Modulating Neural Entrainment during Exposure to Regularities Influences Statistical Learning,"neural entrainment, statistical learning, speech segmentation, implicit learning, EEG"
24030006,00_Neural Speech Tracking Highlights the Importance of Visual Speech in Multi-speaker Situations,"Visual Speech, Multi-speaker Situations, Speech Tracking, Face Mask, Attentional Resource"
24030007,00_Modulation of Visually Induced Self-motion Illusions by α Transcranial Electric Stimulation over the Superior Parietal Cortex,the illusion of self-motion; α oscillations; Transcranial alternating current stimulation (tACS); Visuo-vestibular conflict; Superior parietal cortex.
24030008,00_Dopamine Modulates Effective Connectivity in Frontal Cortex,"Dopamine, Frontal Cortex, Effective Connectivity, Resting-state fMRI, Dynamic Causal Modeling"
24030009,00_Event Probabilities Have a Different Impact on Early and Late Electroencephalographic Measures Regarded as Metrics of Prediction,"oddball paradigm, EEG, event probability, repetition suppression, temporal oddball effect"
24030010,00_Perceptual Cycles Travel Across Retinotopic Space,"Perceptual Cycles, Retinotopic Maps, α Oscillations, EEG, Horizontal Connections"
24030011,00_The Interaction of Context Constraints and Predictive Validity during Sentence Reading,"context constraints, predictive validity, N400, alpha power, sentence reading"
24030012,00_The Effects of Age and Reading Experience on the Lifespan Neurodevelopment for Reading Comprehension,"Reading Comprehension, Lower-level Process, Higher-level Process, age, Reading Experience"
24030013,00_Mental Simulations and Action Language Are Impaired in Individuals with Aphantasia,"Action reading, Aphantasia, Motor Simulations, Reading comprehension,  Transcranial Magnetic Stimulation"
24030014,00_Behavioral and Neural Correlates of Visual Working Memory Reveal Metacognitive Aspects of Mental Imagery,"Visual Working Memory, Mental Imagery, Precision, Capacity, Metacognition"
24030015,00_Temporal and Spatial Information Elicit Different Power and Connectivity Profiles during Working Memory Maintenance,"working memory, neural oscillations, functional connectivity, theta band, beta band"
24030016,00_Superior Attentional Efficiency of Auditory Cue via the Ventral Auditory-thalamic Pathway,"auditory cue, attention, prediction violation effect, auditory-thalamic pathway, ventral frontal network"
24030017,00_How Society Anxiety Influences Attention Control in College Students: The Moderated Mediation Effect of Cognitive Flexibility and Resting-state Electroencephalography Activity,"social anxiety, attention control, cognitive flexibility, EEG, frontal alpha asymmetry"
24030018,00_Multi-modal Representation of the Size of Space in the Human Brain,"Audio-visual perception, Multisensory representation, Spatial size representation, Functional  MRI, Perception: Multisensory processing"
24030019,00_Learning Cognitive Flexibility: Neural Substrates of Adapting Switch-Readiness to Time-varying Demands,"Cognitive Flexibility, Switch Cost, fMRI, Frontoparietal Cortex, Reinforcement Learning"
24030020,00_Ventromedial Prefrontal Cortex Does Not Play a Selective Role in Pattern Separation,"Pattern Separation, Generalization, Ventromedial Prefrontal Cortex, Hippocampus, Mnemonic Similarity Task"
24030021,00_Separable Representations for Duration and Distance in Virtual Movements,"Virtual Movement, Temporal Distance, Spatial Distance, Separable Representation, cross classification"
24030022,00_The Self-reference Effect Can Modulate Language Syntactic Processing Even Without Explicit Awareness: An Electroencephalography Study,"self-reference effect, syntactic processing, EEG, Language Comprehension, face recognition"
24030023,00_Effector-independent Representations Guide Sequential Target Selection Biases in Action,"Color priming, Selection History, Effector-independent, Target Selection Biases, intraparietal sulcus (IPS)"
24030024,00_Associative Visuomotor Learning Using Transcranial Magnetic Stimulation Induces Stimulus–Response Interference,"Transcranial magnetic stimulation (TMS), associative learning, stimulus-response association, Hebbian learning, drift diffusion model"
24030025,00_Automatic Change Detection in Interwoven Sequences: A Visual Mismatch Negativity Study,"visual mismatch negativity, ERP, visual sequence, regularity violation, attention"
24030026,00_Distinct Cortical Networks Subserve Spatio-temporal Sampling in Vision through Different Oscillatory Rhythms,"magnetoencephalography(MEG), Spatiotemporal Binding, Neural oscillations, multivariate decoding, functional connectivity"
24030027,00_Correlations between Visual Temporal Resolution and Individual Alpha Peak Frequency: Evidence that Internal and Measurement Noise Drive Null Findings,"Visual Temporal Resolution, Alpha Peak Frequency, Individual Alpha Frequency (IAF), individual differences, EEG, Internal Noise"
24030028,00_Individual Alpha Frequency Contributes to the Precision of Human Visual Processing,"individual alpha frequency(IAF), EEG, Visual Processing, visual detection threshold, inter-individual differences"
24030029,00_Sensory Drive Modifies Brain Dynamics and the Temporal Integration Window,"visual perception, neural oscillation, temporal segregation, EEG, Sensory Drive"
24030030,00_Audio–Visual Fission Illusion and Individual Alpha Frequency: Perspective on Buergers and Noppeney (2022),"Audio-Visual Fission Illusion, Individual Alpha Frequency, Temporal Binding Window, Audio-Visual Fusion, Perceptual Sensitivity"
24030031,"00_Neural Mechanisms Determining the Duration of Task-free, Self-paced Visual Perception","Task-free perception, Self-paced, Event-related potential, Pupil dynamics, Neural stability"
24030032,00_Investigating the Effect of Contextual Cueing with Face Stimuli on Electrophysiological Measures in Younger and Older Adults,"contextual cueing, visual search, EEG, multiscale entropy, age"
24030033,00_Steady-state Visual Evoked Potentials Reveal Dynamic (Re)allocation of Spatial Attention during Maintenance and Utilization of Visual Working Memory,"Visual Working Memory, Spatial Attention, Steady-state Visual Evoked Potentials, Reallocation of Attention, Spatial Organization"
24030034,00_Neural Signatures of Competition between Voluntary and Involuntary Influences over the Focus of Attention in Visual Working Memory,"Visual working memory, internal selective attention, voluntary control, involuntary control, frontal midline theta activity"
24030035,00_Encoding-related Brain Activity Predicts Subsequent Trial-level Control of Proactive Interference in Working Memory,"Working Memory, proactive interference, Encoding, Retrieval, Temporal Context"
24030036,00_Bilingual Language Control in the Brain: Evidence from Structural and Effective Functional Brain Connectivity,"Bilingual Language Control, Structural Connectivity, Effective Functional Connectivity, Language Switching Cost, Cognitive Control"
24030037,00_Neural Correlates of Analogical Reasoning on Syntactic Patterns,"analogical reasoning, syntactic patterns, dorsolateral prefrontal cortex, ventrolateral prefrontal cortex, artificial grammar"
24030038,00_Expectation Modulates Repetition Suppression at Late But Not Early Stages during Visual Word Recognition: Evidence from Event-related Potentials,"Visual Word Recognition, Repetition Suppression, Expectation, Predictive Coding, Event-related Potentials"
24030039,00_Curiosity Satisfaction Increases Event-related Potentials Sensitive to Reward,"Curiosity Satisfaction, Reward Processing, Event-related Potentials, Reward Positivity, P3 Component"
24030040,00_Electroencephalography Spectral-power Volatility Predicts Problem-solving Outcomes,"Problem-solving, Insight, Spectral-power volatility, Hidden-state modeling, EEG connectome"
24030041,00_Multiplexed Levels of Cognitive Control through Delta and Theta Neural Oscillations,"Neural Oscillations, Brain Network, Cognitive Control, Rule Abstraction, Stimulus-Response Associations"
24030042,00_A Machine Learning Study of Anxiety-related Symptoms and Error-related Brain Activity,"Error-Related Negativity, Error Positivity, Machine Learning, Anxiety Dimensions, Principal Component Analysis"
24030043,00_Lower Childhood Socioeconomic Status Is Associated with Greater Neural Responses to Ambient Auditory Changes in Adulthood,"Socioeconomic Status, Mismatch Negativity, Event-Related Potentials, Subjective Social Status, Attention Allocation"
24030044,"00_The Costs (and Benefits?) of Effortful Listening for Older Adults: Insights from Simultaneous Electrophysiology, Pupillometry, and Memory","Effortful listening, Pupillometry, Event-related potentials, Context processing, Memory"
24030045,00_Roles of the Default Mode Network in Different Aspects of Self-representation When Remembering Social Autobiographical Memories,"Default Mode Network, Autobiographical Memory, Self-representation, Interpersonal Self, Social-valued Self"
24030046,00_Nonfrontal Control of Working Memory,"Working Memory Control, Selection-specific Activity, Middle Temporal Gyrus, Intraparietal Sulcus, Multivariate Pattern Analysis"
24030047,00_Error-based Implicit Learning in Language: The Effect of Sentence Context and Constraint in a Repetition Paradigm,"Error-based implicit learning, EEG, Sentence context, Sentence constraint, Repetition effects"
24030048,00_Cortical and Subcortical Mechanisms of Orthographic Word-form Learning,"Orthographic Word-form Learning, Hippocampus, Visual Word Form Area, Complementary Learning Systems, Functional Connectivity"
24030049,00_Auditory Processing of Intonational Rises and Falls in German: Rises Are Special in Attention Orienting,"Intonational Rise, Attention Orienting, Mismatch Negativity, Pitch Accent, Context-driven Processing"
24030050,00_The Role of Letter–Speech Sound Integration in Native and Second Language Reading: A Study in Native Japanese Readers Learning English,"Letter-Speech Sound Integration, ERP, Second Language Proficiency, Congruency Effect, Priming Paradigm"
24030051,00_Lesion-symptom Mapping of Acceptability Judgments in Chronic Poststroke Aphasia Reveals the Neurobiological Underpinnings of Receptive Syntax,"Lesion-symptom mapping, Syntactic acceptability judgments, Posterior temporal lobe, Aphasia, Syntactic processing"
24030052,00_Behavioral Bias for Exploration Is Associated with Enhanced Signaling in the Lateral and Medial Frontopolar Cortex,"exploration-exploitation dilemma, frontopolar cortex, giving-up times,  inter-individual difference."
24030053,00_The Important Role of the Right Dorsolateral Prefrontal Cortex in Conflict Adaptation: A Combined Voxel-Based Morphometry and Continuous Theta Burst Stimulation Study,"Conflict adaptation, Right dorsolateral prefrontal cortex, Voxel-based morphometry, Continuous theta burst stimulation, Stroop task"
24030054,00_Age-related Differences in Response Inhibition Are Mediated by Frontoparietal White Matter but Not Functional Activity,"Response Inhibition, Age-related Differences, Frontoparietal White Matter, White Matter Microstructure, Functional Activity"
24030055,00_Implicit Adaptation Is Modulated by the Relevance of Feedback,"Implicit Adaptation, Feedback Relevance, Sensory Prediction Error, Task-Relevant Feedback, Attentional Modulation"
24030056,"00_Neural Tracking of Perceived Parent, but Not Peer, Norms Is Associated with Longitudinal Changes in Adolescent Attitudes about Externalizing Behaviors","Adolescent Attitudes, Perceived Parent Norms, Perceived Peer Norms, Neural Tracking, Externalizing Behaviors"
24030057,00_Finding Pattern in the Noise: Persistent Implicit Statistical Knowledge Impacts the Processing of Unpredictable Stimuli,"Implicit Statistical Learning, Statistical Regularities, Persistence, fMRI, Predictable and Unpredictable Blocks"
24030058,"00_P1, N170, and N250 Event-related Potential Components Reflect Temporal Perception Processing in Face and Body Personal Identification","ERP, Face Recognition, Body Recognition, Temporal Perception Processing, Personal Identification"
24030059,00_Perceptual Expectations Are Reflected by Early Alpha Power Reduction,"Perceptual Expectations, Alpha Power Reduction, Statistical Learning, Transitional Probability, Expectation Suppression"
24030060,00_Pupil Size and Eye Movements Differently Index Effort in Both Younger and Older Adults,"Pupil Size, Gaze Dispersion, Listening Effort, Signal-to-Noise Ratio, Age Differences"
24030061,00_The Neural Corelates of Constructing Conceptual and Perceptual Representations of Autobiographical Memories,"Autobiographical memory, Conceptual content, Perceptual content, Anterior hippocampus, Neural correlates"
24030062,00_Stopping Speed in Response to Auditory and Visual Stop Signals Depends on Go Signal Modality,"Stopping Speed, Signal Modality, Selective Stopping, Multisensory Facilitation, Stopping Delay"
24030063,00_Early Rise and Persistent Inhibition of Electromyography during Failed Stopping,"Stop-Signal Task, Electromyography, Point of No Return, Partial Response EMG, Motor Inhibition"
24030064,00_Distributed Sensitivity to Syntax and Semantics throughout the Language Network,"Language Network, Syntactic Sensitivity, Semantic Sensitivity, Distributed Processing, Chunk Length Effect"
24030065,00_Delta-band Activity Underlies Referential Meaning Representation during Pronoun Resolution,"Delta-band activity, Pronoun resolution, Referential representation, Neural pattern reinstatement, Naturalistic language comprehension"
24030066,00_Event-related Potential Measures of Visual Word Processing in Monolingual and Bilingual Children and Adults: A Focus on Word Frequency Effects,"Event-Related Potentials, Visual Word Processing, Bilingualism, Word Frequency Effects, N400 Component"
24030067,00_Speaker Competence Affects Prefrontal Theta and Occipital Alpha Power during Selective Word Learning in Preschoolers,"Selective Word Learning, Speaker Competence, Prefrontal Theta Power, Occipital Alpha Power, Cognitive Control"
24030068,00_Familiarity Alters the Bandwidth of Perceptual Awareness,"Familiarity, Bandwidth of Perceptual Awareness, Change Blindness, Signal Detection Theory, Expansion Hypothesis"
24030069,00_Metacognitive Awareness and the Subjective Experience of Remembering in Aphantasia,"Aphantasia, Metacognitive Awareness, Episodic Memory, Subjective Experience, Visuospatial Perspective"
24030070,00_The Brain's Sensitivity to Real-world Statistical Regularity Does Not Require Full Attention,"Real-world statistical regularity, Attention, N300, Predictive coding, Scene processing"
24030071,00_Acute Stress Effects on Statistical Learning and Episodic Memory,"Statistical Learning, Episodic Memory, Acute Stress, Hippocampus, Cortisol"
24030072,00_Spatiotemporal Properties of Common Semantic Categories for Words and Pictures,"Cross-modal decoding, Semantic activation timing, Multivariate pattern analysis, Magnetoencephalography, Shared semantic representations"
24030073,00_Performing a Motor Action Enhances Social Reward Processing and Modulates the Neural Processing of Predictive Cues,"Social Reward, Motor Action, Event-Related Potentials, Predictive Cues, Reward Processing"
24030074,00_Action Segmentation in the Brain: The Role of Object–Action Associations,"Action Segmentation, Object-Action Associations, Event Boundaries, Neural Processing, Touching-Untouching Events"
24030075,00_Comparing Neural Correlates of Memory Encoding and Maintenance for Foveal and Peripheral Stimuli,"Visual Working Memory, Sensory Recruitment Hypothesis, Eccentricity, Neural Decoding, Alpha Oscillations"
24030076,00_Single-pulse Transcranial Magnetic Stimulation Affects Working-memory Performance via Posterior Beta-band Oscillations,"Single-pulse Transcranial Magnetic Stimulation, Working Memory, Unprioritized Memory Item, Beta-band Oscillations, Spatially distributed Phase Coupling Extraction"
24030077,"00_Same Same, But Different: Brain Areas Underlying the Learning from Repetitive Episodic Prediction Errors","Prediction Errors, Episodic Memory, Hippocampus, Repetitive Prediction Errors, Cortical Midline Regions"
24030078,00_Brain Stimulation of Dorsolateral Prefrontal Cortices Influences Impulsivity in Delay Discounting Choices,"Delay Discounting, Self-control Function, Dorsolateral Prefrontal Cortex, Magnitude Effect, Decision-making for Others"
24030079,00_Is That You I Hear? Speaker Familiarity Modulates Neural Signatures of Lexical-semantic Activation in 18-month-old Infants,"Lexical-semantic activation, Voice familiarity, N400 effect, Infant development, EEG"
24030080,00_Neural and Physiological Correlates of Prosocial Behavior: Temporoparietal Junction Activity in 3-year-old Children,"Prosocial Behavior, Mentalizing Ability, Right Temporoparietal Junction, Functional Near-Infrared Spectroscopy, Facial Electromyography"
24030081,00_Model-based Mind Wandering in Older Adults: Age Differences in the Behavioral and Electrophysiological Correlates of Subjective and Objective Measures of Mind Wandering,"Mind Wandering, Age Differences, Response Time Variability, Event-Related Potentials, Sustained Attention to Response Task"
24030082,00_Cross-sectional and Longitudinal Age-related Disintegration in Functional Connectivity: Reference Ability Neural Network Cohort,"Age-related disintegration, Construct Validity, Functional Connectivity, Cognitive Decline, Longitudinal Study"
24030083,"00_Fifty Percent of the Time, Tones Come Every Time: Stronger Prediction Error Effects on Neurophysiological Sensory Attenuation for Self-generated Tones","Sensory Attenuation, Prediction Error, ERP, Action Performance and Observation, Reinforcement Learning Model"
24030084,00_Spatial Contextual Information Modulates Affordance Processing and Early Electrophysiological Markers of Scene Perception,"Spatial Contextual Information, Navigational Affordance, Scene Perception, Event-Related Potentials, Scene-Selective Regions"
24030085,00_Rhythmic Temporal Cues Coordinate Cross-frequency Phase-amplitude Coupling during Memory Encoding,"Rhythmic Temporal Cues, Memory Encoding, Cross-frequency Phase-amplitude Coupling, Neural Oscillations, Global and Local Memory Effects"
24030086,00_Suppressing the Maintenance of Information in Working Memory Alters Long-term Memory Traces,"Working Memory Suppression, Long-term Memory, Neural Representation, Multivariate Pattern Analysis, Item-level Features"
24030087,00_Differential Mnemonic Contributions of Cortical Representations during Encoding and Retrieval,"Representational Encoding-Retrieval Shift, Visual Representations, Semantic Representations, Memory Success, Parietal Cortex"
24030088,00_Action Planning Renders Objects in Working Memory More Attentionally Salient,"Visual Working Memory, Action Planning, Attentional Salience, Event-Related Potentials, Gaze Bias"
24030089,00_Assessing the Impact of Transcranial Magnetic Stimulation on Speech Perception in Noise,"Transcranial Magnetic Stimulation, Speech Perception in Noise, Aging, Brain Plasticity, Cortical Thickness"
24030090,00_Speaker Demographics Modulate Listeners' Neural Correlates of Spoken Word Processing,"Speaker Demographics, Label Switching, Spoken Word Processing, ERP, Neural Correlates"
24030091,00_Word Type and Frequency Effects on Lexical Decisions Are Process-dependent and Start Early,"Lexical Decision, Word Frequency Effects, EEG, HsMM-MVPA, Process-dependency"
24030092,00_A Rose by Any Other Name: Mapping Taxonomic and Thematic Naming Errors Poststroke,"Taxonomic errors, Thematic errors, Lesion-symptom mapping, Anterior temporal lobe, Aphasia"
24030093,00_Musical Expertise Influences the Processing of Short and Long Auditory Time Intervals: An Electroencephalography Study,"Musical Expertise, Time Interval Processing, Event-Related Potentials, Deviance Detection, Implicit Time Perception"
24030094,00_Reassessing the Functional Significance of Blood Oxygen Level Dependent Signal Variability,"BOLD signal variability, mean BOLD signal, fMRI, reaction time, task state switching"
24030095,00_Medial Temporal Lobe Damage Impairs Temporal Integration in Episodic Memory,"Medial temporal lobe damage, Temporal integration, Episodic memory, Context switch effect, Temporal perception"
24030096,00_The Relationship between Event Boundary Strength and Pattern Shifts across the Cortical Hierarchy during Naturalistic Movie-viewing,"Event boundary strength, Cortical hierarchy, fMRI, Processing timescales, Neural event segmentation"
24030097,00_Rapid Learning of Temporal Dependencies at Multiple Timescales,"Temporal Dependencies, Multiple Timescales, Statistical Learning, Gated Recurrent Unit, Similarity Judgments"
24030098,00_Causal and Chronological Relationships Predict Memory Organization for Nonlinear Narratives,"causal network, chronological order, memory organization, scene memorability, nonlinear narrative"
24030099,00_Goal Shifts Structure Memories and Prioritize Event-defining Information in Memory,"Event Boundaries, Goal Shifts, Source Memory, Memory Consolidation, Episodic Memory"
24030100,00_Threat Impairs the Organization of Memory Around Motivational Context,"Threat motivation, Memory organization, Free recall, Motivational category clustering, Item memory"
24030101,00_The Ubiquity of Time in Latent-cause Inference,"Latent-cause inference, Temporal sensitivity, Bayesian modeling, Event segmentation, Microbes task"
24030102,00_Human Visual Pathways for Action Recognition versus Deep Convolutional Neural Networks: Representation Correspondence in Late but Not Early Layers,"fMRI, Representational Similarity Analysis, Brain and Computational Model Comparison, Hierarchical Representation Alignment, Action Recognition"
24030103,00_Endogenous Attention Affects Decision-related Neural Activity but Not Afferent Visual Responses,"Endogenous Attention, C1 Component, Central Parietal Positivity, Electroencephalography, decision-related neural activity"
24030104,"00_Moving and Static Faces, Bodies, Objects, and Scenes Are Differentially Represented across the Three Visual Pathways","Visual Pathways, Dynamic Stimuli, Static Stimuli, Category-Selective Regions, fMRI"
24030105,00_Impact of Monocular Retinal Lesions on Blob Size in Adult Human V1,"cytochrome oxidase-rich blobs, ocular dominance columns, monocular deprivation, cortical plasticity, visual topography"
24030106,00_Effects of Vergence Eye Movement Planning on Size Perception and Early Visual Processing,"vergence eye movement, size perception, early visual processing, C1 component, motor command"
24030107,00_Paradoxical Long-term Memory Augmentation following Temporal Pairing between “Limited” and “Extensive” Motor Sequence Training Experiences,"Motor Memory, Synaptic Tagging and Capture, Paradoxical Memory Augmentation, Motor Sequence Learning, Finger-to-thumb Opposition Sequence Task"
24030108,00_Reward Accelerates the Preparation of Goal-directed Actions under Conflict,"Conflict, Goal-directed actions, Habitual responses, Reward, Preparation time"
24030109,00_Reward Reinforcement Creates Enduring Facilitation of Goal-directed Behavior,"Goal-directed behavior, Rules, Reward reinforcement, Cognitive flexibility, Drift-diffusion model"
24030110,00_Make or Break: The Influence of Expected Challenges and Rewards on the Motivation and Experience Associated with Cognitive Effort Exertion,"Challenging goals, task  performance, rewards, affective experience,Motivation"
24040001,00_Unique and combined effects of quantitative mathematical language and numeracy instruction within a picture book intervention: A registered report,"quantitative mathematical language, numeracy, picture book intervention, preschool, mathematics"
24040002,00_Longitudinal reciprocal effects of agentic engagement and autonomy support: Between- and within-person perspectives,"autonomy-supportive teaching, engagement, cross-lag-panel model with random intercept, reciprocal relation, self-determination theory"
24040003,00_Week-to-week fluctuations in autonomous study motivation: Links to need fulfillment and affective well-being,"autonomous goal regulation, basic psychological needs, self-determination theory, ambulatory assessment, intensive longitudinal data"
24040004,00_What are they thinking? Exploring college students’ mental processing and decision making about COVID-19 (mis)information on social media,"incidental learning, cognition, misinformation, social media, socioscientific issues"
24040005,00_Receptive dual-language profiles in Spanish–English bilingual preschoolers,"bilingualism, language development, latent profile analysis, early childhood, dual-language profiles"
24040006,00_Subgroups within a heterogeneous population: Considering contextual factors that influence the formation of dual language learner profiles in head start,"dual language learners, contextual factors, Head Start, mixture modeling, latent profile analysis"
24040007,00_Worked examples moderate the effect of math learning anxiety on children’s math learning and engagement during the COVID-19 pandemic,"worked examples, math anxiety, COVID-19, math learning, mind wandering"
24040008,00_Procedural flexibility on fraction arithmetic and word problems predicts middle-schoolers’ differential algebra skills,"procedural flexibility, algebra learning, word problems, fraction arithmetic, fraction magnitude"
24040009,00_Early prediction of math difficulties with the use of a neural networks model,"arithmetic, math difficulties, prediction, neural networks model, kindergarten age"
24040010,00_Children’s understanding of scientific inquiry: The role of instructional support and comparison making,"kindergarten, early science learning, intervention, conceptual knowledge, (analogical) comparison"
24040011,00_Classroom learning climate profiles: Combining classroom goal structure and social climate to support student school functioning and behavioral adaptation,"classroom goal structure, student engagement, student achievement, externalizing behaviors, internalizing behaviors"
24040012,00_The relation between prior knowledge and learning in regular and gifted classes: A multigroup latent growth curve analysis,"prior knowledge, intelligence, need for cognition, ability grouping, knowledge is power"
24040013,00_A longitudinal study of student hand raising: Stability and reciprocal dynamics with cognitive elaboration and academic self-concept,"student hand raising, temporal stability, cross-lagged analysis, video research, teacher–student interactions"
24040014,00_Reading for university or for myself? Effects of context and beliefs about science on college students’ document selection,"selection of multiple documents, reading, context, implicit and explicit beliefs about science, knowledge about how science works"
24040015,00_Uncovering the timing and target: The unique longitudinal contribution of theory of mind to reading comprehension across elementary school,"theory of mind, reading comprehension, elementary school, text genre, processing level"
24040016,00_Fraction arithmetic development: An examination of students’ patterns of growth and errors across the intermediate grades,"fraction arithmetic, fraction learning, mathematics development, mathematics difficulties"
24040017,00_Subtypes of mathematics disability: A new classification method based on cognitive diagnostic models and their cognitive–linguistic correlates,"mathematics disability, subtypes, cognitive diagnosis models, numerical skills, cognitivelinguistic skills"
24040018,00_No evidence that playing a linear number board game improves numerical skills beyond teaching as usual: A randomized controlled trial in 4- to 5-year-old primary school children,"randomized controlled trial, number line, early numeracy, number game, early years"
24040019,00_The need for relatedness in college engineering: A self-determination lens on academic help seeking,"academic help seeking, self-determination theory, gender differences, relatedness, engineering"
24040020,00_The unique importance of motivation and mindsets for students’ learning behavior and achievement: An examination at the level of between-student differences and within-student fluctuations,"motivation, self-determination theory, mindsets about intelligence, learning, achievement"
24040021,00_“Mindfulset”—Harnessing or unleashing learning potential through mindfulness mindset,"mindfulness beliefs, malleability, growth mindset, mental health, academic performance"
24040022,00_Communal socialization: (re)imagining the role of communal socialization on african american high schoolers’ engagement and performance in mathematics,"communal value, culturally sustaining pedagogy, attainment value, African American students, mathematics"
24040023,00_The effect of an intervention personalizing mathematics to students’ career and popular culture interests on mathematics interest and learning,"personalization, personalized learning, utility value, mathematics, interest"
24040024,00_Static versus dynamic representational and decorative pictures in mathematical word problems: Less might be more,"multimedia effect in testing, representational pictures, decorative pictures, animations, word problems"
24040025,00_Improving second-grade reading comprehension through a sustained content literacy intervention: A mixed-methods study examining the mediating role of domain-specific vocabulary,"vocabulary, reading comprehension, literacy, intervention, transfer"
24040026,00_Longitudinal effects of data-based instructional changes for students with intensive learning needs: A piecewise linear–linear mixed-effects modeling approach,"data-based instruction, progress monitoring, instructional change, writing difficulties, piecewise linear–linear mixed-effects modeling"
24040027,00_Mathematical problem solving in emergent bilingual children: Is growth related to the navigation between two working memory systems?,"working memory, English learner, cognitive processing, math word problem solving, computation"
24040028,"00_Examining the relationship between socioeconomic status, self-regulated learning strategies, and writing proficiency in English as a second language learning context","socioeconomic status, self-regulated learning strategy, writing proficiency, partial correlation, structural equation modeling"
24040029,00_How stable is student teachers’ emotional exhaustion? Disentangling different components of stability and change using the STARTS model,"emotional exhaustion, student teachers, stability of individual differences, STable, AutoRegressive Trait, and State models, Bayesian methods"
24040030,00_Socioeconomic gaps in specific mathematical skills at different ages in primary school,"mathematical skills, socioeconomic gap, school trajectories, primary education, Encuesta Longitudinal de Primera Infancia"
24040031,"00_Feeling joy × feeling competent: Predicting math-related occupational aspirations from math grades, gender, and parents’ occupational background via motivational beliefs","STEM (science, technology, engineering, and math), gender, occupational aspirations, math intrinsic value, math ability self-concept"
24040032,00_Examining the effects of a game-based learning environment on fifth graders’ reading comprehension and reading motivation,"game-based learning environments, reading motivation, text comprehension"
24040033,00_Visual–verbal paired-associate learning: An investigation of the role of verbal and crossmodal associative learning in reading skills in French first- and second-grade children,"paired-associate learning, reading prediction, transparent orthography, verbal account, crossmodal associations"
24040034,00_Metacognitive training can reduce mindless reading,"mind-wandering, reading, metacognitive training, comprehension, attention"
24040035,00_The home numeracy environment of Latine families: A mixed methods measurement development study,"home numeracy environment, Latine families, numeracy, dual-language learners, mixed methods"
24040036,00_Cooperative learning reduces the gender gap in perceived social competences: A large-scale nationwide longitudinal experiment,"cooperative learning, jigsaw classroom, positive interdependence, gender, social competences"
24040037,00_Why things can go wrong when parents try to help children with their homework: The role of parental emotion regulation and mentalization,"homework, parenting, mentalization, emotion regulation, control"
24040038,"00_Using fixed-effects analyses to examine how neighborhood structural, process, and physical characteristics predict children’s cognitive skills in a national cohort of elementary school students","neighborhood context, reading and math skills, executive function"
24040039,00_Measuring original thinking in elementary school: Development and validation of a computational psychometric approach,"creativity, originality, large language modeling, computational psychometrics, elementary school"
24040040,00_Event-related potentials of belief-bias reasoning predict critical thinking,"critical thinking skills, conflict control, inhibition, metacognition"
24040041,00_Impact of supplemental multicomponent early childhood language instruction,"language, listening comprehension, preschool, kindergarten, supplemental instruction"
24040042,00_Mechanisms in the relation between morphological awareness and the development of reading comprehension,"morphological awareness, reading comprehension, mechanisms, longitudinal"
24040043,00_Artificial intelligence enhances children’s science learning from television shows,"artificial intelligence, video watching, dialogue, science learning"
24040044,00_Transfer between reading comprehension and word-problem solving among children with learning difficulty in both domains,"reading comprehension, word problems, word-problem solving, comorbid reading and math"
24040045,00_Deliberately making and correcting errors in mathematical problem-solving practice improves procedural transfer to more complex problems,"learning from errors, incorrect worked examples, mathematical problem solving, procedural knowledge, transfer of learning"
24040046,00_Place value learning in kindergarten,"place value, kindergarten, relational learning, base-ten, elementary mathematics"
24040047,00_Direct effects of cognitive load on self-efficacy during instruction,"cognitive load theory, expectancy-value-cost theory, latent state model, self-efficacy, mental effort"
